replay_num,replay_link                                                                              ,player_p1         ,player_p2         ,switch_p1a,switch_p2a,winner,turns
2434      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799256                               ,LTG               ,Please ban rachi  ,Skarmory  ,Salamence ,2     ,34
2438      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-800361                               ,loleinsmaragd     ,Emerald_Harrold   ,Skarmory  ,Salamence ,2     ,48
2437      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-800358                               ,loleinsmaragd     ,Emerald_Harrold   ,Skarmory  ,Salamence ,2     ,57
2439      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799665                               ,FlareLiger        ,Drekt93           ,Jynx      ,Zapdos    ,2     ,64
2445      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799399                               ,DiamondDiancie25  ,DunsparceGamer    ,Snorlax   ,Jolteon   ,2     ,34
2443      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799432                               ,troglodyte480     ,xDeacon           ,Swellow   ,Salamence ,1     ,75
2441      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799685                               ,Drekt93           ,FlareLiger        ,Zapdos    ,Jynx      ,2     ,37
2442      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799428                               ,troglodyte480     ,xDeacon           ,Jolteon   ,Salamence ,1     ,28
2440      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799675                               ,Drekt93           ,FlareLiger        ,Zapdos    ,Jynx      ,2     ,34
2444      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799396                               ,DunsparceGamer    ,DiamondDiancie25  ,Cloyster  ,Blaziken  ,1     ,20
2446      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799413                               ,Jnho              ,Jfaun             ,Tyranitar ,Zapdos    ,1     ,55
2447      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799414                               ,Jnho              ,Jfaun             ,Metagross ,Skarmory  ,1     ,36
2448      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799917                               ,beeoi             ,GShed             ,Tyranitar ,Salamence ,2     ,87
2449      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799928                               ,GShed             ,beeoi             ,Regirock  ,Tyranitar ,2     ,24
2450      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799936                               ,beeoi             ,GShed             ,Tyranitar ,Regirock  ,2     ,27
2451      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799814                               ,corvid_queen      ,woeishuen         ,Tyranitar ,Medicham  ,2     ,24
2452      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799818                               ,corvid_queen      ,woeishuen         ,Salamence ,Salamence ,2     ,50
2456      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799870                               ,Big John Green    ,realtimeglover    ,Zapdos    ,Heracross ,1     ,27
2453      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799537                               ,Hykari            ,kydreith33        ,Tyranitar ,Vaporeon  ,1     ,28
2454      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799544                               ,kydreith33        ,Hykari            ,Tyranitar ,Salamence ,2     ,18
2457      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799874                               ,Big John Green    ,realtimeglover    ,Zapdos    ,Tyranitar ,2     ,53
2455      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799868                               ,realtimeglover    ,Big John Green    ,Skarmory  ,Zapdos    ,1     ,36
2458      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799268                               ,busyboi           ,tub69             ,Breloom   ,Zapdos    ,1     ,38
2459      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799273                               ,tub69             ,busyboi           ,Hariyama  ,Salamence ,2     ,42
2461      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799540                               ,ccczzx            ,Dhrabb            ,Skarmory  ,Tyranitar ,1     ,81
2465      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799532                               ,drogasas          ,DanteADV          ,Snorlax   ,Tyranitar ,1     ,19
2462      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799546                               ,Dhrabb            ,ccczzx            ,Tyranitar ,Tyranitar ,2     ,99
